"","tr_auc","te_auc","iter","cancer_type","agg_level","win_len","type","type1"
"48",0.725278238219275,0.568214193214193,18,"blood","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"49",0.800047359696898,0.626942501942502,19,"blood","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"50",0.784051622069619,0.622798497798498,20,"blood","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"51",0.77650367037651,0.602628852628853,21,"blood","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"52",0.725828794695714,0.607096607096607,22,"blood","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"53",0.754321572341937,0.637852887852888,23,"blood","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"54",0.760614492067251,0.561091686091686,24,"blood","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"55",0.75855434525219,0.58016058016058,25,"blood","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"56",0.790084063461994,0.609006734006734,26,"blood","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"57",0.756109400899834,0.526709401709402,27,"blood","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"58",0.75443405162207,0.512755762755763,28,"blood","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"59",0.741765332701871,0.578800828800829,29,"blood","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"60",0.753433578025101,0.600718725718726,30,"blood","99.5.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"61",0.890462343704565,0.565337763012182,1,"blood","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"62",0.866152951439372,0.548357327427095,2,"blood","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"63",0.828205873800523,0.697674418604651,3,"blood","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"64",0.842279732480372,0.793466223698782,4,"blood","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"65",0.845391102064554,0.785345145810262,5,"blood","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"66",0.882087816225647,0.616648209671465,6,"blood","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"67",0.855335853445769,0.776301218161683,7,"blood","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
"68",0.871270718232044,0.673680324843116,8,"blood","99.9.",100000,"hsp_vs_bkpt","hotspots vs breakpoints"
