"","importance","feature","iter","feat_group","cancer_type","agg_level","win_len","is_upper","raw_feature","upper"
"7747",0.100269487095417,"EGR1",3,"tf","breast","99.",100000,0,"EGR1","Current"
"7748",0.0186052546225167,"FOXA1",3,"tf","breast","99.",100000,0,"FOXA1","Current"
"7749",0.0296160259993751,"FOXA2",3,"tf","breast","99.",100000,0,"FOXA2","Current"
"7750",0.0453060897788179,"GABPA",3,"tf","breast","99.",100000,0,"GABPA","Current"
"7751",0.10839673521908,"HNF4A",3,"tf","breast","99.",100000,0,"HNF4A","Current"
"7752",0,"HNF4G",3,"tf","breast","99.",100000,0,"HNF4G","Current"
"7753",0.00328560232248424,"JUND",3,"tf","breast","99.",100000,0,"JUND","Current"
"7754",0.412627096977286,"MAX",3,"tf","breast","99.",100000,0,"MAX","Current"
"7755",0.962223244013271,"NR2F2",3,"tf","breast","99.",100000,0,"NR2F2","Current"
"7756",0.0238556690517578,"REST",3,"tf","breast","99.",100000,0,"REST","Current"
"7757",0.362390564219189,"RXRA",3,"tf","breast","99.",100000,0,"RXRA","Current"
"7758",0.174132618895995,"SP1",3,"tf","breast","99.",100000,0,"SP1","Current"
"7759",0.0078147698082953,"YY1",3,"tf","breast","99.",100000,0,"YY1","Current"
"7760",0,"ZBTB33",3,"tf","breast","99.",100000,0,"ZBTB33","Current"
"7761",0.207112717267418,"upper_ATF3",3,"tf","breast","99.",100000,1,"ATF3","Distant"
"7762",1.42783765526639,"upper_CTCF",3,"tf","breast","99.",100000,1,"CTCF","Distant"
"7763",2.93199079095994,"upper_EGR1",3,"tf","breast","99.",100000,1,"EGR1","Distant"
"7764",0.0666770998431361,"upper_FOXA1",3,"tf","breast","99.",100000,1,"FOXA1","Distant"
"7765",0.581547164860166,"upper_FOXA2",3,"tf","breast","99.",100000,1,"FOXA2","Distant"
"7766",4.40331307665235,"upper_GABPA",3,"tf","breast","99.",100000,1,"GABPA","Distant"
"7767",1.44472091590555,"upper_HNF4A",3,"tf","breast","99.",100000,1,"HNF4A","Distant"
"7768",0.245161959387858,"upper_HNF4G",3,"tf","breast","99.",100000,1,"HNF4G","Distant"
